Account,Default Radar Template,Name,Team,Competition,Competition Type,Competition Rank,Season,Nationality,Country Code,Date of Birth,Age,Woman Player?,Team Color 1,Team Color 2,Player Id,Player Name,First Name,Last Name,Nickname,Weight,Height,Birth Date,Country Id,Country,Team Id,Team Color 1st,Team Color 2nd,Competition Id,Competition Name,Season Id,Seasons,Primary Position,Secondary Position,Most Recent Match,Player SBData Id,90s Played,Appearances,Minutes Played,Starting Appearances,Scoring Contribution,PAdj Interceptions,Aerial Win%,Aerial Wins,Dribbles Successfully Defended%,PAdj Tackles,Tack/Dribbled Past%,xGBuildup,Pass Forward%,Long Ball%,Passing%,Pressured Pass%,OBV
174,Centre Back,Aaron Donnelly,Colchester United,League Two,1,4,2024/2025,Northern Ireland,gb-nir,2003-06-08,21,false,#2191cc,#f7c408,14126294,Aaron Donnelly,,,,,185,2003-06-08,1373,Northern Ireland,480856,#2191cc,#f7c408,1005,League Two,1317,2024/2025,Left Centre Back,Centre Back,2025-01-04 17:00:00.0,134826,16.053888,17,1444.85,14,0.0,0.8189556,0.75,2.2424474,0.6666667,0.42394543,0.875,0.2714424,0.34863523573200994,0.4549019607843137,0.7320099255583127,0.5729166666666666,0.1748272
174,Centre Back,Aaron Donnelly,Dundee,Premiership,1,1,2024/2025,Northern Ireland,gb-nir,2003-06-08,21,false,#001c54,#fdfcfc,14126294,Aaron Donnelly,,,,,185,2003-06-08,1373,Northern Ireland,480866,#001c54,#fdfcfc,1051,Premiership,1317,2024/2025,Left Centre Back,,2025-05-10 14:00:00.0,134826,11.677037,11,1050.9333,10,0.08563816,0.6841111,0.6515151515151515,3.682441,0.5,0.4169108,0.7692307692307693,0.2347251,0.4797687861271676,0.26973684210526316,0.5337186897880539,0.45454545454545453,0.25259218
174,Centre Back,Aaron Essel,St Johnstone,Premiership,1,1,2024/2025,Ghana,gh,2005-07-30,19,false,#087cc7,#e8552c,14144426,Aaron Essel,,,,,179,2005-07-30,227,Ghana,480869,#087cc7,#e8552c,1051,Premiership,1317,2024/2025,Right Centre Back,Centre Defensive Midfielder,2025-01-12 17:00:00.0,260731,10.084074,15,907.56665,9,0.099166274,1.6019853,0.6444444444444445,2.8758218,0.6666667,1.9560976,0.88,0.38640288,0.3544018058690745,0.675,0.7562076749435666,0.704225352112676,0.19670102
174,Centre Back,Aaron Hayden,Carlisle United,League Two,1,4,2024/2025,England,gb-eng,1997-01-16,28,false,#e71c2f,#1d6fb8,636222,Aaron Hayden,Aaron,Hayden,,79,185,1997-01-16,618,England,480855,#e71c2f,#1d6fb8,1005,League Two,1317,2024/2025,Right Centre Back,Right Centre Forward,2025-05-03 14:00:00.0,33338,23.671854,24,2130.4668,23,0.16897705,1.4476331,0.6333333333333333,4.013205,0.64285713,1.6326152,0.75,0.3897903,0.39053803339517623,0.4322916666666667,0.7319109461966605,0.6324324324324324,0.071172915
174,Centre Back,Aaron McGowan,Northampton Town,League One,1,3,2024/2025,England,gb-eng,1996-07-24,28,false,#8a2240,#5bb259,6597816,Aaron McGowan,,,,80,175,1996-07-24,618,England,466602,#8a2240,#5bb259,1004,League One,1317,2024/2025,Right Centre Back,Right Back,2025-05-03 14:00:00.0,12506,28.789442,35,2591.0498,30,0.069469914,0.83590835,0.6417910447761194,4.480809,0.6666667,1.3272372,0.8245614035087719,0.21840489,0.41191489361702127,0.4,0.6,0.5135135135135135,0.23480007
174,Centre Back,Aaron Pickles,Accrington Stanley,League Two,1,4,2024/2025,England,gb-eng,2004-12-15,20,false,#a4311e,#dfc83e,14161715,Aaron Pickles,,,,,188,2004-12-15,618,England,480839,#a4311e,#dfc83e,1005,League Two,1317,2024/2025,Right Centre Back,,2024-10-01 21:45:00.0,359461,0.32314816,1,29.083334,0,0.0,0.0,1.0,3.0945559,,0.0,,0.3550041,0.6666666666666666,0.3333333333333333,0.5333333333333333,1.0,1.4692922
174,Centre Back,Aaron Pierre,Shrewsbury Town,League One,1,3,2024/2025,Grenada,gd,1993-02-17,32,false,#002a5c,#977f30,5520202,Aaron Pierre,,,,88,185,1993-02-17,7467,Grenada,466601,#002a5c,#977f30,1004,League One,1317,2024/2025,Left Centre Back,Centre Back,2025-05-03 14:00:00.0,4359,29.278147,33,2635.0332,27,0.102465495,0.72950596,0.6546762589928058,6.216241,0.76,1.1795845,0.8688524590163934,0.25094151,0.5061224489795918,0.3448275862068966,0.5687074829931973,0.44385026737967914,-0.030835947
174,Centre Back,Deji Oshilaja,Mansfield Town,League One,1,3,2024/2025,England,gb-eng,1993-03-02,32,false,#e6b242,#025490,10347,Abdulyussuf Adedeji Adeniyi Oshilaja,Abdul-Yussuf,Oshilaja,Deji Oshilaja,76,180,1993-03-02,618,England,480841,#e6b242,#025490,1004,League One,1317,2024/2025,Centre Back,Right Centre Back,2025-04-30 18:45:00.0,4244,39.772964,39,3579.5667,38,0.10057083,1.0037363,0.753968253968254,4.7771144,0.75757575,1.514083,0.8717948717948718,0.41186816,0.29528535980148884,0.48346055979643765,0.7627791563275435,0.5989010989010989,0.124054365
174,Centre Back,Adam Alimi-Adetoro,Halifax Town,National League,1,5,2024/2025,England,gb-eng,2002-07-07,22,false,#185798,#B49B56,14150127,Adam Alimi-Adetoro,,,,,195,2002-07-07,618,England,934020,#185798,#B49B56,1065,National League,1317,2024/2025,Left Centre Back,Centre Back,2025-05-14 18:45:00.0,294106,32.851482,37,2956.6333,29,0.060880058,0.5923639,0.6590909090909091,5.296565,0.61904764,0.9872025,0.8181818181818182,0.23151612,0.3955960516324981,0.325,0.7076689445709947,0.5446428571428571,0.099757336
174,Centre Back,Adam Crowther,Southend United,National League,1,5,2024/2025,England,gb-eng,2001-01-07,24,false,#003a80,#f9f69c,14220887,Adam Crowther,,,,,,2001-01-07,618,England,466597,#003a80,#f9f69c,1065,National League,1317,2024/2025,Centre Back,Left Centre Back,2024-12-21 17:00:00.0,422681,21.173334,21,1905.6001,20,0.09445843,1.2166553,0.6739130434782609,4.3923173,0.4,0.88811284,0.6551724137931034,0.25597674,0.29316770186335406,0.5,0.7950310559006211,0.5801526717557252,-0.06318713
